image_url,page_url,alt_text,photographer
https://images.pexels.com/photos/45170/kittens-cat-cat-puppy-rush-45170.jpeg,https://www.pexels.com/photo/assorted-color-kittens-45170/,Assorted Color Kittens,Pixabay
https://images.pexels.com/photos/66898/elephant-cub-tsavo-kenya-66898.jpeg,https://www.pexels.com/photo/1-elephant-beside-on-baby-elephant-66898/,1 Elephant Beside on Baby Elephant,Pixabay
https://images.pexels.com/photos/47547/squirrel-animal-cute-rodents-47547.jpeg,https://www.pexels.com/photo/brown-squirrel-47547/,Brown Squirrel,Pixabay
https://images.pexels.com/photos/34098/south-africa-hluhluwe-giraffes-pattern.jpg,https://www.pexels.com/photo/three-giraffe-under-gray-sky-34098/,Three Giraffe Under Gray Sky,Pixabay
https://images.pexels.com/photos/792381/pexels-photo-792381.jpeg,https://www.pexels.com/photo/close-up-photography-of-tiger-792381/,Close-Up Photography of Tiger,GEORGE DESIPRIS
https://images.pexels.com/photos/37833/rainbow-lorikeet-parrots-australia-rainbow-37833.jpeg,https://www.pexels.com/photo/blue-geeen-and-orange-parrot-37833/,Blue Geeen and Orange Parrot,Pixabay
https://images.pexels.com/photos/62289/yemen-chameleon-chamaeleo-calyptratus-chameleon-reptile-62289.jpeg,https://www.pexels.com/photo/yellow-and-green-coated-lizard-62289/,Yellow and Green Coated Lizard,Pixabay
https://images.pexels.com/photos/814898/pexels-photo-814898.jpeg,https://www.pexels.com/photo/two-orange-tigers-sitting-beside-each-other-814898/,Two Orange Tigers Sitting Beside Each Other,Thomas B.
https://images.pexels.com/photos/288621/pexels-photo-288621.jpeg,https://www.pexels.com/photo/sheep-288621/,Sheep,Trinity  Kubassek
https://images.pexels.com/photos/247376/pexels-photo-247376.jpeg,https://www.pexels.com/photo/zebras-on-zebra-247376/,Zebras on Zebra,Pixabay
https://images.pexels.com/photos/1851164/pexels-photo-1851164.jpeg,https://www.pexels.com/photo/portrait-photo-of-an-adult-black-pug-1851164/,Portrait Photo of an Adult Black Pug,Charles
